direction,beam,length_penalty,bucket,n,bleu,chrf
vi2zh,4,0.6,medium,72,14.929,16.433
vi2zh,4,0.6,long,214,20.295,23.256
vi2zh,4,0.8,all,300,20.194,22.683
vi2zh,4,0.8,short,14,4.601,9.99
vi2zh,4,0.8,medium,72,15.213,17.222
vi2zh,4,0.8,long,214,20.382,23.276
vi2zh,4,0.9,all,300,20.003,22.338
vi2zh,4,0.9,short,14,3.046,9.148
vi2zh,4,0.9,medium,72,8.252,14.615
vi2zh,4,0.9,long,214,20.414,23.266
vi2zh,4,1.0,all,300,16.205,21.468
vi2zh,4,1.0,short,14,0.677,4.093
vi2zh,4,1.0,medium,72,4.641,11.618
vi2zh,4,1.0,long,214,20.418,23.235
vi2zh,6,0.6,all,300,20.057,23.042
vi2zh,6,0.6,short,14,6.417,11.267
vi2zh,6,0.6,medium,72,15.423,16.363
vi2zh,6,0.6,long,214,20.331,23.701
vi2zh,6,0.8,all,300,20.149,23.03
vi2zh,6,0.8,short,14,5.347,10.337
vi2zh,6,0.8,medium,72,15.25,16.76
vi2zh,6,0.8,long,214,20.412,23.678
vi2zh,6,0.9,all,300,20.091,22.677
vi2zh,6,0.9,short,14,3.141,9.226
vi2zh,6,0.9,medium,72,7.832,14.06
vi2zh,6,0.9,long,214,20.47,23.695
vi2zh,6,1.0,all,300,15.859,21.779
vi2zh,6,1.0,short,14,0.429,2.963
vi2zh,6,1.0,medium,72,4.853,11.656
vi2zh,6,1.0,long,214,20.583,23.787
