direction,beam,length_penalty,bucket,n,bleu,chrf
vi2zh,4,0.6,medium,72,9.627,14.358
vi2zh,4,0.6,long,214,20.702,23.807
vi2zh,4,0.8,all,300,20.227,22.958
vi2zh,4,0.8,short,14,2.821,8.089
vi2zh,4,0.8,medium,72,9.234,14.152
vi2zh,4,0.8,long,214,20.825,23.912
vi2zh,4,0.9,all,300,20.295,23.095
vi2zh,4,0.9,short,14,2.253,7.993
vi2zh,4,0.9,medium,72,9.038,14.086
vi2zh,4,0.9,long,214,20.946,24.087
vi2zh,4,1.0,all,300,19.268,22.824
vi2zh,4,1.0,short,14,2.253,7.993
vi2zh,4,1.0,medium,72,7.113,13.016
vi2zh,4,1.0,long,214,20.956,24.053
vi2zh,6,0.6,all,300,20.007,23.112
vi2zh,6,0.6,short,14,6.275,10.362
vi2zh,6,0.6,medium,72,9.313,14.454
vi2zh,6,0.6,long,214,20.516,23.993
vi2zh,6,0.8,all,300,20.209,23.146
vi2zh,6,0.8,short,14,5.675,10.82
vi2zh,6,0.8,medium,72,8.918,14.353
vi2zh,6,0.8,long,214,20.739,24.049
vi2zh,6,0.9,all,300,20.079,23.107
vi2zh,6,0.9,short,14,3.013,9.21
vi2zh,6,0.9,medium,72,8.686,14.255
vi2zh,6,0.9,long,214,20.782,24.062
vi2zh,6,1.0,all,300,19.032,22.769
vi2zh,6,1.0,short,14,0.817,4.394
vi2zh,6,1.0,medium,72,8.027,13.72
vi2zh,6,1.0,long,214,20.829,24.089
