checkpoint,eval_label,num_samples,sample_seed,beam_size,max_decode_len,zh→vi BLEU,zh→vi chrF,vi→zh BLEU,vi→zh chrF
latest,DRAFT METRICS,300,42,1,256,,,,
latest_ema,DRAFT METRICS,300,42,1,256,,,,
best,DRAFT METRICS,300,42,1,256,21.49,40.34,18.08,21.45
best_ema,DRAFT METRICS,300,42,1,256,21.97,40.77,18.57,21.45
avg_last5,DRAFT METRICS,300,42,1,256,,,,
avg_last5_ema,DRAFT METRICS,300,42,1,256,,,,
final,DRAFT METRICS,300,42,1,256,21.96,40.58,18.89,21.69
